shiftSinceLineset,motionSinceLineset,snap_motion_gap,init_rel_y_dis,end_rel_y_dis,overall_y_change,init_rel_x_dis,end_rel_x_dis,overall_x_change,motion_s_avg,frames_in_motion,swapped_side,y_dis_travel_pos,y_dis_travel_neg,swapped_y_dir,x_dis_travel_pos,x_dis_travel_neg,inMotionAtBallSnap,init_tackle_dis,end_tackle_dis
1,1,96,569,0,569,-149,-776,627,212.14634146341464,41,0,33,595,0,8,643,0,282,-289
0,1,28,1244,-456,1700,-163,-106,-57,232.54054054054055,74,1,7,1722,0,151,105,0,930,167
0,1,14,1185,-1075,2260,-238,-201,-37,408.56363636363636,55,1,7,2263,0,133,67,0,855,788
0,1,28,50,215,-165,-817,-496,-321,167.30434782608697,23,0,168,12,0,342,25,0,-263,-98
0,1,0,502,280,222,-230,-236,6,289.8181818181818,33,0,363,587,1,42,56,1,152,-67
1,1,71,424,-425,849,-111,-107,-4,254.97222222222223,36,1,26,857,0,140,127,0,120,126
1,1,63,545,-568,1113,-218,-183,-35,258.8181818181818,44,1,21,1108,0,155,110,0,241,269
0,1,41,223,-489,712,-433,-125,-308,228.77777777777777,36,1,38,728,0,317,5,0,-92,186
0,1,60,905,-359,1264,-198,-242,44,308.8292682926829,41,1,25,1281,0,19,86,0,609,72
0,1,0,803,217,586,-168,-337,169,375.3529411764706,17,0,6,608,0,6,175,1,520,-70
0,1,0,1101,148,953,-192,-527,335,451.0,23,0,7,973,0,2,333,1,778,-174
0,1,0,732,-477,1209,-271,-273,2,381.75,32,1,6,1207,0,32,43,1,431,133
0,1,0,962,-542,1504,-164,-336,172,549.6428571428571,28,1,20,1511,0,19,199,1,645,212
1,1,24,37,971,-934,-142,-204,62,280.6764705882353,34,0,934,3,0,38,116,0,-292,650
1,1,7,640,457,183,-61,-71,10,88.36363636363636,22,0,19,198,0,10,43,0,324,133
1,1,27,566,-207,773,-282,-486,204,273.38709677419354,31,1,30,803,0,9,227,0,237,-117
0,1,17,229,2413,-2184,-503,-241,-262,396.2631578947368,57,0,2172,8,0,303,48,0,-69,2104
0,1,0,926,-500,1426,-271,-246,-25,449.1875,32,1,4,1434,0,29,13,1,636,139
0,1,0,609,-273,882,-130,-266,136,344.5,58,1,546,1436,1,83,215,1,308,-30
0,1,33,7,18,-11,-723,-766,43,98.21875,64,0,93,62,1,306,360,0,-277,-266
0,1,0,874,749,125,-254,-251,-3,158.625,8,0,11,144,0,2,18,1,567,442
0,1,20,10,3,7,-720,-747,27,93.48611111111111,72,0,90,59,1,342,362,0,-282,-285
0,1,0,1317,846,471,-249,-222,-27,318.46666666666664,15,0,9,484,0,24,7,1,1022,550
0,1,0,589,-391,980,-201,-208,7,396.24,25,1,0,976,0,44,52,1,278,55
0,1,13,225,-287,512,-534,-539,5,160.36363636363637,33,1,2,523,0,60,70,0,-118,-52
0,1,22,21,19,2,-824,-803,-21,112.27160493827161,81,0,87,49,1,460,462,0,-288,-285
0,1,30,916,1007,-91,-126,-127,1,100.5,16,0,146,19,0,64,50,0,544,694
0,1,38,174,-209,383,-473,-476,3,116.6,55,1,50,477,0,171,161,0,-64,-104
0,1,0,458,355,103,-215,-221,6,288.9166666666667,36,0,458,566,1,59,75,1,136,32
1,1,36,823,1442,-619,-106,-100,-6,137.95652173913044,46,0,630,20,0,36,40,0,522,1139
1,1,20,1070,1910,-840,-84,-47,-37,199.25581395348837,43,0,870,23,0,62,32,0,758,1600
1,1,14,104,290,-186,-506,-514,8,61.903225806451616,31,0,219,21,0,36,61,0,-208,-20
0,1,52,84,833,-749,-267,-4,-263,142.88888888888889,54,0,703,15,0,231,47,0,-181,530
0,1,37,259,486,-227,-406,-95,-311,159.60344827586206,58,0,539,259,1,378,143,0,-84,181
0,1,0,1253,694,559,-116,-98,-18,224.30769230769232,26,0,0,570,0,57,52,1,948,375
0,1,0,421,-588,1009,-193,-61,-132,222.6595744680851,47,1,2,1023,0,114,58,0,117,295
0,1,35,947,-380,1327,-168,-221,53,333.0,40,1,13,1345,0,17,74,0,648,63
0,1,0,788,-171,959,-239,-329,90,434.1304347826087,23,1,10,966,0,13,105,1,479,-120
0,1,68,541,214,327,-143,-415,272,189.2608695652174,23,0,10,327,0,18,292,0,267,-61
0,1,0,817,-304,1121,-262,-288,26,438.46153846153845,26,1,14,1127,0,11,44,1,543,-10
0,1,54,7,-182,189,-746,-470,-276,143.8695652173913,23,1,38,224,0,269,1,0,-279,-116
1,1,54,20,217,-197,-755,-461,-294,97.41176470588235,34,0,222,9,0,290,6,0,312,513
0,1,10,245,-600,845,-422,-106,-316,216.7910447761194,67,1,235,1070,1,383,70,0,537,143
1,1,0,622,315,307,-31,-49,18,103.68571428571428,35,0,56,342,0,57,85,0,914,611
0,1,0,875,-356,1231,-216,-226,10,298.1190476190476,42,1,18,1260,0,15,28,0,568,55
0,1,0,845,-360,1205,-132,-326,194,568.8181818181819,22,1,24,1222,0,14,209,1,544,53
0,1,40,892,-444,1336,-199,-221,22,357.3157894736842,38,1,3,1354,0,29,52,0,612,122
0,1,0,845,-390,1235,-146,-346,200,580.3636363636364,22,1,7,1229,0,6,201,1,523,110
0,1,26,608,607,1,-175,-178,3,87.74358974358974,39,0,164,169,1,75,80,0,286,287
1,1,45,1226,740,486,-299,-86,-213,100.16883116883118,77,0,75,573,0,291,83,0,907,422
1,1,41,1203,1477,-274,-91,-129,38,69.94047619047619,84,0,414,151,1,72,117,0,884,1159
0,1,0,298,-266,564,-583,-636,53,248.04347826086956,23,1,1,558,0,18,70,1,-76,-49
0,1,0,1544,-1343,2887,-293,-137,-156,387.1875,80,1,74,2952,0,176,38,0,1171,1022
0,1,0,1075,95,980,-149,-624,475,388.86,50,0,459,1413,1,8,558,1,747,-212
0,1,6,482,-552,1034,-267,-21,-246,160.02702702702703,74,1,92,1155,0,222,48,0,150,239
0,1,0,1862,967,895,-215,-278,63,387.625,24,0,38,908,0,33,172,1,1531,654
0,1,0,1141,-386,1527,-189,-251,62,439.0285714285714,35,1,2,1543,0,16,88,1,831,11
0,1,0,940,207,733,-228,-241,13,360.3809523809524,21,0,16,748,0,15,45,1,577,-151
1,1,0,926,1363,-437,-168,-115,-53,113.925,40,0,472,42,0,44,25,0,592,1020
1,1,1,1536,207,1329,-213,-456,243,240.53333333333333,60,0,68,1403,0,16,291,0,1202,-136
0,1,0,978,426,552,-206,-179,-27,160.1818181818182,33,0,26,568,0,25,40,0,636,103
0,1,0,261,-304,565,-630,-580,-50,130.94230769230768,52,1,17,585,0,128,86,1,-125,-8
0,1,3,1606,-249,1855,-282,-420,138,347.94642857142856,56,1,8,1869,0,118,297,0,1250,-55
0,1,1,185,188,-3,-480,-369,-111,24.0,1,0,4,12,1,2,9,0,-96,-106
0,1,0,460,-530,990,-228,-235,7,236.02380952380952,42,1,24,989,0,65,96,0,184,166
0,1,0,325,-544,869,-277,-68,-209,221.37209302325581,43,1,56,896,0,187,41,0,-20,208
0,1,12,851,-1369,2220,-264,-177,-87,422.66037735849056,53,1,67,2259,0,117,97,0,506,1033
0,1,5,1228,242,986,-256,-460,204,206.26,50,0,23,1020,0,6,214,0,885,-110
0,1,3,814,-976,1790,-242,-141,-101,360.52941176470586,51,1,26,1797,0,158,52,0,409,631
0,1,0,488,539,-51,-241,-244,3,52.15909090909091,44,0,196,145,1,248,243,0,113,163
0,1,5,195,-234,429,-538,-313,-225,166.03125,32,1,51,468,0,116,76,0,-163,-102
0,1,1,665,-245,910,-98,-477,379,158.46835443037975,79,1,97,1016,0,132,486,0,328,-62
0,1,54,1031,-940,1971,-158,-174,16,502.1,40,1,10,2002,0,95,106,0,694,633
1,1,0,2224,2204,20,-173,-67,-106,33.5,8,0,19,42,1,2,12,0,1901,1882
1,1,11,1221,1202,19,-115,-10,-105,9.2,5,0,11,34,1,4,8,0,898,880
1,1,0,1632,1644,-12,-162,-52,-110,6.0,2,0,26,10,1,13,12,0,1306,1317
0,1,59,421,532,-111,-210,-154,-56,80.80645161290323,31,0,197,99,1,93,44,0,59,168
0,1,0,1223,-88,1311,-180,-737,557,340.6179775280899,89,1,760,2088,1,94,671,1,885,-221
0,1,33,532,550,-18,-111,-99,-12,65.64102564102564,39,0,189,164,1,37,36,0,168,196
0,1,0,552,-503,1055,12,-32,44,226.58,50,1,19,1091,0,111,106,0,236,205
0,1,0,289,-322,611,-610,-536,-74,194.9375,32,1,8,636,0,94,37,0,-79,15
0,1,0,1511,667,844,-202,-191,-11,217.10526315789474,38,0,1,844,0,45,33,0,1155,311
0,1,0,259,-344,603,-615,-562,-53,163.19444444444446,36,1,26,622,0,65,40,0,-65,-15
0,1,1,544,519,25,-142,-65,-77,28.35,20,0,35,32,1,95,29,0,189,188
0,1,0,547,-275,822,-260,-536,276,226.0,43,1,5,856,0,43,331,1,280,-56
0,1,0,119,541,-422,-282,-179,-103,155.27027027027026,37,0,447,39,0,160,64,0,-186,231
0,1,19,37,526,-489,-269,-33,-236,188.93333333333334,30,0,528,30,0,206,5,0,-327,176
0,1,0,1758,893,865,-136,-243,107,434.35,20,0,2,871,0,4,149,1,1394,543
0,1,0,473,162,311,-237,-236,-1,266.0,78,0,896,1208,1,69,89,1,149,-161
0,1,0,762,579,183,-282,-269,-13,112.14285714285714,28,0,52,233,1,48,44,1,414,232
0,1,1,482,-562,1044,-212,-134,-78,222.44897959183675,49,1,38,1082,0,71,23,0,130,235
0,1,0,311,-1246,1557,-240,-172,-68,301.5263157894737,57,1,50,1619,0,124,43,1,-70,897
0,1,1,12,-14,26,-412,-300,-112,121.0,7,0,0,23,0,75,0,1,-241,-264
0,1,18,832,-1097,1929,-201,-149,-52,381.54901960784315,51,1,2,1963,0,138,89,0,513,738
0,1,0,1218,822,396,-89,-291,202,245.1904761904762,63,0,513,922,1,26,227,1,856,454
0,1,69,168,517,-349,-362,-112,-250,188.88,25,0,357,27,0,279,27,0,-194,149
0,1,13,1885,503,1382,-191,-195,4,273.3,50,0,4,1365,0,54,112,0,1522,165
0,1,0,542,525,17,-202,74,-276,41.857142857142854,7,0,8,25,1,14,9,0,210,193
0,1,21,466,-680,1146,-285,-137,-148,186.43548387096774,62,1,13,1129,0,227,63,0,144,277
0,1,11,924,-1275,2199,-230,-187,-43,454.57142857142856,49,1,7,2185,0,153,117,0,510,973
1,1,3,978,1402,-424,-123,-89,-34,94.43181818181819,44,0,455,18,0,57,63,0,637,1068
1,1,10,1560,235,1325,-155,-415,260,257.037037037037,54,0,18,1323,0,48,338,0,1219,-99
0,1,0,553,551,2,-248,-283,35,53.23809523809524,21,0,50,43,1,40,80,1,176,175
0,1,3,167,805,-638,-324,-144,-180,187.10256410256412,39,0,678,13,0,189,0,0,-178,485
0,1,1,572,-667,1239,-231,-157,-74,233.83018867924528,53,1,0,1236,0,100,41,0,262,306
0,1,0,1290,-407,1697,-205,-290,85,450.02564102564105,39,1,36,1749,0,2,88,1,910,105
0,1,0,927,952,-25,-104,-119,15,40.86363636363637,22,0,50,38,1,58,78,1,529,555
0,1,0,653,-440,1093,-194,-217,23,208.3793103448276,58,1,63,1153,0,70,106,0,330,57
0,1,0,685,-964,1649,-291,-177,-114,325.27450980392155,51,1,19,1665,0,137,32,0,359,609
0,1,0,502,486,16,-131,-110,-21,28.0,18,0,64,87,1,44,34,1,141,131
0,1,0,1445,-293,1738,-249,-480,231,282.6969696969697,66,1,109,1862,0,208,492,0,1113,-24
0,1,0,1545,1564,-19,-131,-120,-11,55.875,24,0,58,67,1,65,63,1,1125,1124
0,1,10,142,946,-804,238,221,17,266.375,32,0,832,8,0,111,22,0,-89,732
0,1,0,1508,1493,15,-186,-108,-78,63.8,10,0,29,31,1,7,3,1,1179,1177
0,1,0,294,-258,552,-592,-597,5,125.57692307692308,52,1,84,643,0,83,110,1,-70,-87
0,1,12,724,-1040,1764,-274,243,-517,370.93617021276594,47,1,6,1742,0,169,24,0,411,666
0,1,16,249,-219,468,-569,-453,-116,192.13793103448276,29,1,22,491,0,157,47,0,-138,-105
0,1,0,1013,-667,1680,-201,-217,16,343.8775510204082,49,1,4,1689,0,49,67,1,662,382
0,1,6,1907,857,1050,-287,-235,-52,268.1025641025641,39,0,1,1046,0,79,69,0,1606,556
1,1,26,473,543,-70,-35,-55,20,66.48148148148148,54,0,220,109,1,90,149,0,176,269
1,1,0,597,-658,1255,-126,-87,-39,211.16438356164383,73,1,55,1345,0,254,250,0,280,384
0,1,0,1237,1232,5,-91,-81,-10,67.11111111111111,54,0,239,244,1,71,105,0,921,908
0,1,0,101,-506,607,-250,-35,-215,215.87878787878788,33,1,16,631,0,180,6,0,-215,158
1,1,26,913,-1253,2166,-196,-142,-54,435.74,50,1,40,2203,0,118,110,0,597,905
0,1,0,1266,384,882,-168,-129,-39,238.3846153846154,39,0,5,910,0,53,56,1,964,59
0,1,1,417,-502,919,-284,-155,-129,228.87179487179486,39,1,43,907,0,68,77,0,68,158
0,1,0,986,324,662,-240,-239,-1,376.2352941176471,17,0,20,632,0,2,132,1,637,18
0,1,9,577,-517,1094,-184,-153,-31,292.64102564102564,39,1,13,1099,0,86,93,0,187,188
0,1,59,345,1888,-1543,-453,-154,-299,321.01960784313724,51,0,1537,10,0,286,25,0,-9,1536
0,1,3,451,525,-74,-120,-45,-75,66.72,25,0,143,68,1,81,5,0,113,190
0,1,0,466,-588,1054,-170,-131,-39,201.26666666666668,60,1,59,1115,0,109,64,0,121,253
0,1,0,603,578,25,-172,-29,-143,49.166666666666664,30,0,95,129,1,50,56,1,351,307
0,1,11,797,-963,1760,-219,-166,-53,337.3018867924528,53,1,24,1781,0,98,64,0,432,635
0,1,0,488,499,-11,-101,-69,-32,50.758620689655174,29,0,55,53,1,95,77,1,162,171
0,1,0,95,-310,405,-269,-595,326,120.98214285714286,56,1,32,436,0,17,351,0,-270,2
0,1,3,263,269,-6,-523,-424,-99,57.94117647058823,17,0,59,55,1,14,20,1,-70,-67
0,1,0,1575,893,682,-201,-166,-35,180.3783783783784,37,0,0,679,0,21,18,1,1256,575
0,1,0,481,519,-38,-101,-52,-49,24.8,10,0,65,26,1,17,3,1,162,201
0,1,3,2115,2103,12,-110,-151,41,54.5,14,0,22,22,1,25,107,0,1744,1737
0,1,0,384,388,-4,-610,-578,-32,59.30434782608695,23,0,34,17,1,72,79,1,13,22
0,1,0,469,444,25,-227,-211,-16,244.58536585365854,41,0,490,529,1,36,30,1,140,104
0,1,0,993,-712,1705,-196,-245,49,350.68,50,1,43,1732,0,88,143,1,675,375
0,1,0,1013,-285,1298,-211,-346,135,321.73333333333335,60,1,305,1630,1,24,147,1,647,55
0,1,8,677,-451,1128,250,91,159,301.72972972972974,37,1,6,1115,0,63,64,0,370,115
0,1,4,37,554,-517,-486,-171,-315,237.53846153846155,26,0,540,0,0,269,0,0,-282,246
0,1,0,882,-262,1144,391,453,-62,371.5806451612903,62,1,565,1723,1,108,153,1,617,-50
0,1,8,582,160,422,-238,-359,121,136.40625,32,0,26,436,0,13,270,0,254,-144
0,1,32,1731,824,907,-167,-71,-96,246.56756756756758,37,0,16,927,0,61,107,0,1454,523
0,1,0,323,-438,761,-252,-132,-120,276.62068965517244,29,1,13,781,0,47,15,0,27,81
0,1,0,410,-495,905,-77,-151,74,199.71698113207546,53,1,17,931,0,67,155,0,106,158
0,1,54,846,17,829,-211,-851,640,258.3658536585366,41,0,4,845,0,2,647,0,559,-271
0,1,0,658,-822,1480,-222,-134,-88,308.88,50,1,13,1515,0,108,84,0,321,531
0,1,0,424,-583,1007,-125,-200,75,231.2340425531915,47,1,17,1028,0,48,133,0,112,243
0,1,0,2,35,-33,-500,-489,-11,151.0,3,0,48,24,1,6,4,1,-310,-275
0,1,30,1911,911,1000,-230,-118,-112,241.8048780487805,41,0,3,985,0,76,73,0,1599,609
0,1,0,885,-11,896,-219,-433,214,305.8301886792453,53,1,296,1224,1,18,317,1,584,-297
0,1,16,879,-284,1163,-189,-301,112,330.8974358974359,39,1,22,1196,0,21,258,0,582,-41
0,1,17,225,-696,921,-463,-55,-408,249.925,40,1,4,943,0,274,14,0,-59,400
0,1,0,675,-810,1485,-206,-149,-57,328.0851063829787,47,1,15,1518,0,92,75,0,341,525
0,1,0,1046,742,304,-205,-159,-46,214.14285714285714,14,0,0,304,0,4,1,1,748,444
0,1,35,1269,-839,2108,-189,-161,-28,406.34615384615387,52,1,12,2116,0,133,111,0,969,523
0,1,0,454,-393,847,-126,-149,23,196.12,50,1,27,903,0,17,107,0,165,99
0,1,0,1048,-414,1462,-183,-188,5,338.52272727272725,44,1,9,1497,0,35,75,0,761,122
0,1,0,233,-191,424,-554,-576,22,231.47368421052633,19,1,15,449,0,8,102,1,-66,-142
0,1,0,913,668,245,-136,-344,208,271.5,12,0,5,242,0,2,223,1,601,358
0,1,0,457,-873,1330,-215,-129,-86,348.2631578947368,38,1,0,1321,0,61,32,1,154,578
0,1,0,938,-268,1206,-214,-310,96,314.4782608695652,46,1,90,1276,0,22,251,0,632,-94
0,1,0,874,-469,1343,-234,-227,-7,332.6666666666667,42,1,25,1398,0,92,94,0,610,140
0,1,0,468,6,462,-193,-479,286,235.44,25,0,22,511,0,13,312,0,204,-275
0,1,5,207,-2223,2430,-499,-25,-474,441.44642857142856,56,1,3,2432,0,364,0,0,-86,1892
0,1,0,5,816,-811,-277,-48,-229,289.37931034482756,29,0,807,0,0,70,11,1,-291,489
0,1,0,604,555,49,-154,-110,-44,22.5,8,0,21,62,1,8,17,1,279,239
0,1,0,446,-661,1107,-120,-147,27,234.50980392156862,51,1,2,1107,0,58,107,1,135,298
0,1,9,1274,1310,-36,-156,-51,-105,161.90425531914894,94,0,733,706,1,202,129,0,988,1020
0,1,43,538,792,-254,-282,-77,-205,127.04081632653062,49,0,414,145,1,248,84,0,219,477
1,1,0,1181,414,767,-344,-225,-119,145.30357142857142,56,0,24,778,0,147,64,0,862,99
0,1,24,653,707,-54,-209,-131,-78,161.84313725490196,51,0,441,398,1,152,110,0,367,417
0,1,47,164,-11,175,-560,-698,138,93.76923076923077,39,1,62,219,1,47,234,0,-155,-279
0,1,0,1098,394,704,-211,-86,-125,202.97142857142856,35,0,0,714,0,6,39,1,832,118
